code,testId,testType,spot,red_current,green_current,blue_current,duv,x,y,u,v,Lv,X,Y,Z
"4G-1-12-09-2-A",150522164256,"135 spots",118,23.4,21.528,21.762,-0.009375056,0.2823109,0.272343636,0.197991267,0.429752231,8567.904,8881.474,8567.904,14010.5264
"4G-1-12-09-2-A",150522164256,"135 spots",70,23.4,21.528,21.762,-0.00612491276,0.2775507,0.272257268,0.194363728,0.428977847,8259.102000000001,8419.682000000001,8259.102000000001,13656.8691
"4G-1-12-09-2-A",150522164256,"135 spots",135,23.4,21.528,21.762,-0.009218073,0.286738783,0.278032839,0.199023366,0.434206456,9256.958000000001,9546.816999999999,9256.958000000001,14490.7021
"4G-1-12-09-2-A",150522164256,"135 spots",67,23.4,21.528,21.762,-0.00745705143,0.277803242,0.2701012,0.195443109,0.4275551,8347.736999999999,8585.776,8347.736999999999,13972.4492
"4G-1-12-09-2-A",150522164256,"135 spots",134,23.4,21.528,21.762,-0.008839829,0.2867169,0.278688461,0.198735371,0.4346337,9877.39551,10161.9424,9877.39551,15403.0879
"4G-1-12-09-2-A",150522164256,"135 spots",68,23.4,21.528,21.762,-0.006074825,0.276421458,0.270867467,0.194062814,0.427868128,8299.592000000001,8469.77051,8299.592000000001,13871.4229
"4G-1-12-09-2-A",150522164256,"135 spots",123,23.4,21.528,21.762,-0.007991411,0.2825735,0.275193185,0.19701241,0.431700319,8285.034,8507.227999999999,8285.034,13313.9863
"4G-1-12-09-2-A",150522164256,"135 spots",122,23.4,21.528,21.762,-0.00701917475,0.281588823,0.275750965,0.1960299,0.431923121,8330.499,8506.861999999999,8330.499,13372.8662
"4G-1-12-09-2-A",150522164256,"135 spots",121,23.4,21.528,21.762,-0.0077132,0.281445056,0.274295151,0.196517467,0.430931479,8291.144,8507.263999999999,8291.144,13428.6787
"4G-1-12-09-2-A",150522164256,"135 spots",120,23.4,21.528,21.762,-0.008837097,0.281794548,0.272676468,0.197455123,0.42989856,8323.227000000001,8601.549000000001,8323.227000000001,13599.4082
"4G-1-12-09-2-A",150522164256,"135 spots",133,23.4,21.528,21.762,-0.009402281,0.285733759,0.276496232,0.198892817,0.433041275,10369.6572,10716.1,10369.6572,16418.0371
"4G-1-12-09-2-A",150522164256,"135 spots",66,23.4,21.528,21.762,-0.005513332,0.274853855,0.269834578,0.19327639,0.4269304,8345.97949,8501.226000000001,8345.97949,14082.7783
"4G-1-12-09-2-A",150522164256,"135 spots",124,23.4,21.528,21.762,-0.008128091,0.283794165,0.2764483,0.19742921,0.432717383,8307.39551,8528.143,8307.39551,13214.9121
"4G-1-12-09-2-A",150522164256,"135 spots",65,23.4,21.528,21.762,-0.007209476,0.27760005,0.270295978,0.195205972,0.4276571,8396.48,8623.374,8396.48,14044.168
"4G-1-12-09-2-A",150522164256,"135 spots",64,23.4,21.528,21.762,-0.00662189955,0.2773422,0.2710548,0.194695324,0.4281335,7975.582,8160.584,7975.582,13288.0762
"4G-1-12-09-2-A",150522164256,"135 spots",81,23.4,21.528,21.762,-0.00548298471,0.2770956,0.272866666,0.193766057,0.429319978,7777.331,7897.865,7777.331,12827.1172
"4G-1-12-09-2-A",150522164256,"135 spots",80,23.4,21.528,21.762,-0.007231747,0.2786503,0.271623075,0.195469439,0.428714842,8262.972,8476.745000000001,8262.972,13681.0107
"4G-1-12-09-2-A",150522164256,"135 spots",79,23.4,21.528,21.762,-0.006236887,0.278060257,0.27271077,0.1945699,0.429359943,8489.624,8656.156000000001,8489.624,13984.7236
"4G-1-12-09-2-A",150522164256,"135 spots",78,23.4,21.528,21.762,-0.00717562251,0.277934641,0.270796984,0.195257843,0.4280477,8474.681,8698.056,8474.681,14122.5918
"4G-1-12-09-2-A",150522164256,"135 spots",128,23.4,21.528,21.762,-0.01008031,0.283367574,0.272381157,0.198790312,0.429936826,9696.808999999999,10087.9268,9696.808999999999,15815.4082
"4G-1-12-09-2-A",150522164256,"135 spots",127,23.4,21.528,21.762,-0.009045528000000001,0.284591466,0.275756449,0.198325217,0.43237868,9573.276,9879.995999999999,9573.276,15263.1455
"4G-1-12-09-2-A",150522164256,"135 spots",130,23.4,21.528,21.762,-0.00800001249,0.282624,0.275240123,0.197031766,0.431739181,10290.4707,10566.5332,10290.4707,16530.2422
"4G-1-12-09-2-A",150522164256,"135 spots",129,23.4,21.528,21.762,-0.00945279747,0.283466816,0.273639441,0.198341608,0.43079713,9888.57,10243.7051,9888.57,16004.9521
"4G-1-12-09-2-A",150522164256,"135 spots",59,23.4,21.528,21.762,-0.00636784639,0.276103228,0.2698938,0.194216,0.4271584,7984.067,8167.756,7984.067,13430.4316
"4G-1-12-09-2-A",150522164256,"135 spots",60,23.4,21.528,21.762,-0.00483959261,0.274571717,0.270734757,0.192692965,0.427500427,7918.007,8030.22461,7918.007,13298.1328
"4G-1-12-09-2-A",150522164256,"135 spots",61,23.4,21.528,21.762,-0.00376704,0.275014043,0.273369163,0.191968426,0.429345548,8008.456,8056.64355,8008.456,13230.2891
"4G-1-12-09-2-A",150522164256,"135 spots",62,23.4,21.528,21.762,-0.004635757,0.2753351,0.272144169,0.192708462,0.428569,7985.07227,8078.69873,7985.07227,13277.5605
"4G-1-12-09-2-A",150522164256,"135 spots",63,23.4,21.528,21.762,-0.00516683375,0.275255978,0.27103135,0.193098933,0.427804321,7623.843,7742.67725,7623.843,12762.4854
"4G-1-12-09-2-A",150522164256,"135 spots",72,23.4,21.528,21.762,-0.00598670775,0.277013868,0.27181378,0.194132164,0.428597867,7629.42871,7775.3877,7629.42871,12663.77
"4G-1-12-09-2-A",150522164256,"135 spots",71,23.4,21.528,21.762,-0.003082484,0.274971366,0.274618745,0.19143486,0.430176049,8194.039000000001,8204.561,8194.039000000001,13439.2705
"4G-1-12-09-2-A",150522164256,"135 spots",56,23.4,21.528,21.762,-0.00678968057,0.276087642,0.269079745,0.194538146,0.426600456,7928.40332,8134.89063,7928.40332,13401.5908
"4G-1-12-09-2-A",150522164256,"135 spots",55,23.4,21.528,21.762,-0.006659841,0.277509362,0.271202922,0.194763362,0.428259015,7607.03564,7783.92627,7607.03564,12658.2754
"4G-1-12-09-2-A",150522164256,"135 spots",131,23.4,21.528,21.762,-0.008628396999999999,0.283349633,0.274991423,0.197690442,0.431682765,10344.3506,10658.7607,10344.3506,16613.8828
"4G-1-12-09-2-A",150522164256,"135 spots",58,23.4,21.528,21.762,-0.007293436,0.2769696,0.269308448,0.1951259,0.42688933,8006.73047,8234.502,8006.73047,13489.4746
"4G-1-12-09-2-A",150522164256,"135 spots",132,23.4,21.528,21.762,-0.008239641000000001,0.284525484,0.2771378,0.197703764,0.433283359,10394.1738,10671.2529,10394.1738,16440.01
"4G-1-12-09-2-A",150522164256,"135 spots",57,23.4,21.528,21.762,-0.007649429,0.277248651,0.269012958,0.195463777,0.426729381,8202.513999999999,8453.629999999999,8202.513999999999,13835.0049
"4G-1-12-09-2-A",150522164256,"135 spots",51,23.4,21.528,21.762,-0.00528229354,0.2741698,0.269348174,0.192946926,0.42649585,7760.666,7899.59,7760.666,13152.5088
"4G-1-12-09-2-A",150522164256,"135 spots",52,23.4,21.528,21.762,-0.00433936249,0.274332941,0.271366477,0.19225356,0.427892983,7832.034,7917.65039,7832.034,13111.7793
"4G-1-12-09-2-A",150522164256,"135 spots",37,23.4,21.528,21.762,-0.00598007161,0.275776625,0.270188957,0.19384326,0.427310258,7890.26025,8053.436,7890.26025,13259.0547
"4G-1-12-09-2-A",150522164256,"135 spots",38,23.4,21.528,21.762,-0.005129868,0.274120241,0.2695713,0.192817852,0.426640749,7835.206,7967.423,7835.206,13262.8018
"4G-1-12-09-2-A",150522164256,"135 spots",53,23.4,21.528,21.762,-0.00524607534,0.2748654,0.2703573,0.193072364,0.427287966,7784.963,7914.774,7784.963,13095.3525
"4G-1-12-09-2-A",150522164256,"135 spots",54,23.4,21.528,21.762,-0.00371751818,0.271950155,0.269303918,0.191253349,0.426132768,7758.1875,7834.421,7758.1875,13215.6895
"4G-1-12-09-2-A",150522164256,"135 spots",49,23.4,21.528,21.762,-0.00540202856,0.274356723,0.269373953,0.193080679,0.426541537,7545.42773,7685.0,7545.42773,12780.5479
"4G-1-12-09-2-A",150522164256,"135 spots",48,23.4,21.528,21.762,-0.006281314,0.274738461,0.268222421,0.193846628,0.425810546,7655.8125,7841.798,7655.8125,13045.165
"4G-1-12-09-2-A",150522164256,"135 spots",47,23.4,21.528,21.762,-0.00599927874,0.2752599,0.269460648,0.1937424,0.4267363,7618.546,7782.51025,7618.546,12872.2607
"4G-1-12-09-2-A",150522164256,"135 spots",46,23.4,21.528,21.762,-0.00660294341,0.2774938,0.2712889,0.194716126,0.4283149,7542.551,7715.06348,7542.551,12545.0371
"4G-1-12-09-2-A",150522164256,"135 spots",50,23.4,21.528,21.762,-0.006476486,0.27477935,0.267908245,0.194007322,0.425600946,7539.5127,7732.881,7539.5127,12869.7529
"4G-1-12-09-2-A",150522164256,"50 spots",19,23.4,21.528,21.762,-0.005723065,0.275079459,0.26974076,0.193488672,0.4269003,7720.66,7873.46729,7720.66,13028.3926
"4G-1-12-09-2-A",150522164256,"50 spots",35,23.4,21.528,21.762,-0.008166407000000001,0.280278265,0.271987021,0.196573108,0.4292056,8701.549999999999,8966.808000000001,8701.549999999999,14324.1621
